GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ba-web-app,de.aikiit.bilanzanalyser.entity,BilanzRow,0,6,0,0,0,1,0,1,0,1
ba-web-app,de.aikiit.bilanzanalyser,WebAppApplication,5,3,0,0,2,1,1,1,1,1
ba-web-app,de.aikiit.bilanzanalyser.entity.database,DataInitializer,0,76,0,4,0,15,0,7,0,5
ba-web-app,de.aikiit.bilanzanalyser.upload,UploadAnalysisService,22,222,0,6,5,42,2,16,2,13
ba-web-app,de.aikiit.bilanzanalyser.upload,UploadController,0,155,0,6,0,36,0,7,0,4
ba-web-app,de.aikiit.bilanzanalyser.upload,SourceService,0,10,0,0,0,4,0,2,0,2
ba-web-app,de.aikiit.bilanzanalyser.reader,BilanzRowParserResult,4,88,4,4,0,11,3,8,0,7
ba-web-app,de.aikiit.bilanzanalyser.reader,BilanzRowParser,0,148,2,14,0,29,2,10,0,4
ba-web-app,de.aikiit.bilanzanalyser.reader,BilanzOdsReader,55,128,5,9,14,30,4,7,1,3
ba-web-app,de.aikiit.bilanzanalyser.reader,BilanzRowParserStatistic,8,28,5,1,0,3,3,3,0,3
ba-web-app,de.aikiit.bilanzanalyser.api,DataItem,0,9,0,0,0,1,0,1,0,1
ba-web-app,de.aikiit.bilanzanalyser.api,DataController,0,55,0,0,0,12,0,2,0,2
ba-web-app,de.aikiit.bilanzanalyser.analyse,AnalyseController,7,3,0,0,2,1,1,1,1,1
