GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ba-web-app,de.aikiit.bilanzanalyser.entity,BilanzRow,0,6,0,0,0,1,0,1,0,1
ba-web-app,de.aikiit.bilanzanalyser,WebAppApplication,5,3,0,0,2,1,1,1,1,1
ba-web-app,de.aikiit.bilanzanalyser.entity.database,DataInitializer,0,76,0,4,0,15,0,7,0,5
ba-web-app,de.aikiit.bilanzanalyser.upload,UploadAnalysisService,9,235,0,6,2,45,1,17,1,14
ba-web-app,de.aikiit.bilanzanalyser.upload,SourceService,0,10,0,0,0,4,0,2,0,2
ba-web-app,de.aikiit.bilanzanalyser.upload,UploadController,0,155,0,6,0,36,0,7,0,4
ba-web-app,de.aikiit.bilanzanalyser.reader,BilanzRowParserResult,4,88,4,4,0,11,3,8,0,7
ba-web-app,de.aikiit.bilanzanalyser.reader,BilanzRowParser,0,148,2,14,0,29,2,10,0,4
ba-web-app,de.aikiit.bilanzanalyser.reader,BilanzOdsReader,55,128,5,9,14,30,4,7,1,3
ba-web-app,de.aikiit.bilanzanalyser.reader,BilanzRowParserStatistic,8,28,5,1,0,3,3,3,0,3
ba-web-app,de.aikiit.bilanzanalyser.analyse,AnalyseService,3,0,0,0,1,0,1,0,1,0
ba-web-app,de.aikiit.bilanzanalyser.analyse,AnalyseController,11,6,0,0,3,3,2,1,2,1
ba-web-app,de.aikiit.bilanzanalyser.api,DataController,0,55,0,0,0,12,0,2,0,2
ba-web-app,de.aikiit.bilanzanalyser.api,DataItem,0,9,0,0,0,1,0,1,0,1
